"user_id","FScore","FBRScore","MScore","FWBRScore","MFWBRScores"
3380337387,1,1,2,2,"2 2"
3391076010,1,2,2,1,"1 2"
3395992488,4,4,4,5,"5 4"
3408930588,1,1,2,2,"2 2"
3417210972,3,1,2,4,"4 2"
3418246020,1,1,2,2,"2 2"
3440499552,3,1,4,5,"5 4"
3463917513,2,1,3,3,"3 3"
3485524140,1,1,2,2,"2 2"
3538699731,1,1,2,2,"2 2"
3556424928,2,1,2,3,"3 2"
3580101651,2,1,3,3,"3 3"
3592651608,1,1,2,2,"2 2"
3596274276,2,3,1,1,"1 1"
3597956229,2,1,1,3,"3 1"
3624091191,2,1,3,3,"3 3"
3637417434,2,2,2,2,"2 2"
3664458063,1,1,2,2,"2 2"
3672997209,4,3,4,5,"5 4"
3681795117,1,1,1,2,"2 1"
3686323452,3,2,2,3,"3 2"
3692404359,2,1,2,3,"3 2"
3694086312,1,2,1,1,"1 1"
3698485266,1,1,2,2,"2 2"
3703401744,4,5,4,2,"2 4"
3705730602,2,2,2,2,"2 2"
3712199652,4,1,4,5,"5 4"
3718409940,3,2,3,3,"3 3"
3730312992,2,1,4,3,"3 4"
3738722757,2,1,2,3,"3 2"
3745838712,4,5,4,4,"4 4"
3775596342,3,1,2,4,"4 2"
3780254058,2,2,2,2,"2 2"
3781806630,4,4,4,4,"4 4"
3788146299,4,1,4,5,"5 4"
3803672019,2,2,2,2,"2 2"
3825796170,1,1,2,2,"2 2"
3827348742,4,5,4,5,"5 4"
3838604889,4,5,4,5,"5 4"
3850249179,3,1,4,5,"5 4"
3862152231,3,2,4,4,"4 4"
3910670106,3,1,3,5,"5 3"
3937322592,3,1,3,4,"4 3"
4038886677,4,1,4,5,"5 4"
4044579441,2,1,3,3,"3 3"
4065280401,4,5,4,5,"5 4"
4073043261,3,4,2,1,"1 2"
4080547359,4,2,4,5,"5 4"
4090250934,1,2,1,1,"1 1"
4112116323,4,1,4,5,"5 4"
4121690517,2,2,3,2,"2 3"
4123889994,1,1,1,2,"2 1"
4124536899,2,1,2,3,"3 2"
4147437336,2,2,2,2,"2 2"
4150801242,1,1,3,2,"2 3"
4153388862,4,5,4,3,"3 4"
4171760964,1,1,1,2,"2 1"
4201130451,4,5,3,2,"2 3"
4221443268,2,1,3,3,"3 3"
4225065936,2,1,3,3,"3 3"
4248095754,4,3,3,4,"4 3"
4252365327,1,1,2,2,"2 2"
4282252338,1,2,1,1,"1 1"
4305799680,1,2,2,1,"1 2"
4343837694,3,1,4,5,"5 4"
4355740746,4,3,4,5,"5 4"
4371913371,4,1,3,5,"5 3"
4372689657,4,5,3,1,"1 3"
4377476754,2,1,2,3,"3 2"
4396495761,4,2,4,5,"5 4"
4409304480,1,1,2,2,"2 2"
4416291054,4,5,4,4,"4 4"
4428323487,1,1,2,2,"2 2"
4450965162,1,1,2,2,"2 2"
4463385738,1,2,1,1,"1 1"
4487450604,1,2,1,1,"1 1"
4508022183,1,1,1,2,"2 1"
4513585566,1,1,2,2,"2 2"
4523418522,3,1,3,4,"4 3"
4525747380,4,2,4,5,"5 4"
4531440144,1,2,1,1,"1 1"
4532475192,3,4,3,1,"1 3"
4540755576,4,5,4,5,"5 4"
4581898734,4,1,4,5,"5 4"
4587591498,3,1,3,5,"5 3"
4591731690,2,1,3,3,"3 3"
4597683216,1,1,2,2,"2 2"
4650341283,1,2,1,1,"1 1"
4652281998,3,1,3,4,"4 3"
4659268572,1,1,1,2,"2 1"
4661468049,1,1,1,2,"2 1"
4662114954,4,5,4,5,"5 4"
4675829340,3,4,2,1,"1 2"
4676864388,3,1,3,5,"5 3"
4677123150,2,2,2,2,"2 2"
4677511293,4,5,4,4,"4 4"
4677640674,4,5,4,2,"2 4"
4678287579,2,3,2,1,"1 2"
4678805103,2,1,2,3,"3 2"
4678934484,1,1,1,2,"2 1"
4679969532,4,1,4,5,"5 4"
4682557152,1,1,1,2,"2 1"
4683333438,4,2,4,5,"5 4"
4683850962,4,2,3,5,"5 3"
4684497867,4,1,4,5,"5 4"
4685015391,1,1,2,2,"2 2"
4686309201,1,1,1,2,"2 1"
4687861773,4,2,4,5,"5 4"
4690320012,3,1,4,4,"4 4"
4691096298,3,4,2,2,"2 2"
4694072061,2,1,2,3,"3 2"
4694718966,3,1,4,5,"5 4"
4696271538,1,1,1,2,"2 1"
4702611207,3,1,3,4,"4 3"
4704681303,4,1,4,5,"5 4"
4705975113,1,1,2,2,"2 2"
4708692114,2,2,2,2,"2 2"
4711797258,1,1,1,2,"2 1"
4719560118,3,2,3,4,"4 3"
4720336404,4,2,4,5,"5 4"
4726546692,4,1,4,5,"5 4"
4728487407,2,1,2,3,"3 2"
4728875550,4,5,4,5,"5 4"
4731204408,4,1,3,5,"5 3"
4740390459,2,1,1,3,"3 1"
4741943031,1,1,1,2,"2 1"
4745824461,1,1,1,2,"2 1"
4747765176,2,2,2,2,"2 2"
4753069797,1,2,1,1,"1 1"
4754363607,4,1,4,5,"5 4"
4759150704,1,1,2,2,"2 2"
4761220800,3,5,3,1,"1 3"
4766654802,3,1,3,4,"4 3"
4769242422,2,1,3,3,"3 3"
4785026904,1,1,2,2,"2 2"
4797835623,3,1,3,4,"4 3"
4804951578,1,1,1,2,"2 1"
4807927341,2,2,2,2,"2 2"
4824099966,1,1,1,2,"2 1"
4825781919,2,3,3,1,"1 3"
4837555590,4,3,4,5,"5 4"
4846353498,4,1,4,5,"5 4"
4849070499,3,2,2,3,"3 2"
4852822548,3,1,4,5,"5 4"
4862526123,1,1,2,2,"2 2"
4875205461,2,1,3,3,"3 3"
4881933273,1,2,1,1,"1 1"
4889178609,3,1,4,5,"5 4"
4890343038,4,4,4,5,"5 4"
4903151757,1,1,2,2,"2 2"
4905609996,2,1,2,3,"3 2"
4909103283,2,1,2,3,"3 2"
4911302760,1,1,1,2,"2 1"
4948046964,4,3,4,5,"5 4"
4977157689,1,1,2,2,"2 2"
4978710261,1,1,2,2,"2 2"
4997988030,4,2,4,5,"5 4"
4999799364,4,5,2,2,"2 2"
5007562224,2,2,2,2,"2 2"
5007950367,1,1,2,2,"2 2"
5019724038,2,1,3,3,"3 3"
5026581231,2,2,2,2,"2 2"
5026839993,1,1,1,2,"2 1"
5029168851,4,5,4,5,"5 4"
5032662138,4,5,4,5,"5 4"
5034990996,3,1,4,5,"5 4"
5035637901,2,1,2,3,"3 2"
5037707997,4,4,4,3,"3 4"
5038096140,1,1,1,2,"2 1"
5042365713,4,5,4,5,"5 4"
5062549149,1,2,1,1,"1 1"
5077686726,1,1,1,2,"2 1"
5099810877,2,1,2,3,"3 2"
5121158742,1,1,1,2,"2 1"
5127627792,1,1,1,2,"2 1"
5133061794,1,1,1,2,"2 1"
5135390652,2,1,2,3,"3 2"
5169935379,3,3,3,2,"2 3"
5170970427,3,1,4,4,"4 4"
5176275048,3,1,3,5,"5 3"
5194905912,2,1,1,3,"3 1"
5198011056,1,1,2,2,"2 2"
5211207918,3,1,4,5,"5 4"
5213666157,2,2,2,2,"2 2"
5221558398,4,3,4,5,"5 4"
5228415591,1,2,1,1,"1 1"
5233202688,2,3,1,1,"1 1"
5239412976,2,1,2,3,"3 2"
5243294406,1,1,1,2,"2 1"
5247822741,4,5,2,1,"1 2"
5248469646,4,1,4,5,"5 4"
5279909229,1,2,1,1,"1 1"
5290906614,4,4,4,4,"4 4"
5298928236,1,1,3,2,"2 3"
5306820477,3,3,3,3,"3 3"
5319887958,4,3,4,5,"5 4"
5320276101,1,1,3,2,"2 3"
5324804436,1,1,1,2,"2 1"
5327392056,4,3,4,5,"5 4"
5332955439,1,2,2,1,"1 2"
5333214201,3,1,3,5,"5 3"
5336578107,1,1,1,2,"2 1"
5347057968,4,4,4,5,"5 4"
5351327541,4,2,3,5,"5 3"
5353785780,1,2,1,1,"1 1"
5359349163,4,4,4,5,"5 4"
5361419259,1,1,1,2,"2 1"
5363748117,1,1,1,2,"2 1"
5365818213,1,2,1,1,"1 1"
5368017690,4,2,4,5,"5 4"
5374486740,1,1,2,2,"2 2"
5375392407,3,4,2,2,"2 2"
5391565032,4,1,4,5,"5 4"
5394152652,4,3,3,4,"4 3"
5394799557,4,3,4,4,"4 4"
5398939749,4,3,4,5,"5 4"
5403209322,1,1,1,2,"2 1"
5406314466,3,1,3,4,"4 3"
5417441232,3,1,3,4,"4 3"
5432190666,4,5,4,5,"5 4"
5437624668,2,1,3,3,"3 3"
5437883430,4,5,4,5,"5 4"
5450045244,2,1,3,3,"3 3"
5451080292,4,5,3,2,"2 3"
5452891626,4,5,4,5,"5 4"
5454702960,3,1,3,5,"5 3"
5455996770,4,5,4,5,"5 4"
5458972533,1,1,1,2,"2 1"
5466735393,1,1,2,2,"2 2"
5468417346,4,5,4,5,"5 4"
5469840537,1,1,2,2,"2 2"
5489506449,2,1,3,3,"3 3"
5496881166,4,5,3,2,"2 3"
5499598167,4,1,4,5,"5 4"
5501150739,2,1,4,3,"3 4"
5507619789,1,1,1,2,"2 1"
5520946032,1,1,1,2,"2 1"
5522886747,1,1,2,2,"2 2"
5523404271,4,5,3,4,"4 3"
5527544463,3,2,3,3,"3 3"
5529226416,3,1,3,4,"4 3"
5538929991,2,1,1,3,"3 1"
5540482563,1,1,1,2,"2 1"
5542552659,4,3,4,5,"5 4"
5543587707,1,1,2,2,"2 2"
5545010898,4,5,3,1,"1 3"
5553420663,4,2,4,5,"5 4"
5554067568,3,1,3,4,"4 3"
5554714473,2,1,2,3,"3 2"
5556655188,1,1,2,2,"2 2"
5559113427,4,5,4,5,"5 4"
5568040716,1,1,1,2,"2 1"
5569593288,4,4,4,5,"5 4"
5571663384,1,1,1,2,"2 1"
5572051527,3,4,2,2,"2 2"
5575286052,3,1,4,4,"4 4"
5579685006,3,1,4,4,"4 4"
5581237578,1,1,2,2,"2 2"
5581496340,2,1,3,3,"3 3"
5587706628,3,1,2,5,"5 2"
5593399392,3,2,2,3,"3 2"
5594951964,2,2,2,2,"2 2"
5595210726,3,1,2,4,"4 2"
5627297214,1,2,1,1,"1 1"
5628461643,2,2,2,2,"2 2"
5629367310,3,1,4,5,"5 4"
5636095122,1,1,2,2,"2 2"
5651750223,1,1,3,2,"2 3"
5653820319,3,1,3,4,"4 3"
5660548131,2,3,1,1,"1 1"
5662230084,3,4,3,1,"1 3"
5669087277,2,1,3,3,"3 3"
5676979518,1,2,1,1,"1 1"
5689400094,4,2,4,5,"5 4"
5721227820,2,1,3,3,"3 3"
5728731918,2,1,2,3,"3 2"
5750467926,1,1,2,2,"2 2"
5759912739,2,1,2,3,"3 2"
5772980220,4,3,4,5,"5 4"
5775438459,1,1,2,2,"2 2"
5791869846,3,2,4,4,"4 4"
5796656943,1,1,2,2,"2 2"
5798597658,1,1,1,2,"2 1"
5803125993,1,1,3,2,"2 3"
5811535758,2,3,1,1,"1 1"
5821756857,4,2,4,5,"5 4"
5823956334,3,2,3,4,"4 3"
5824473858,4,2,4,5,"5 4"
5825508906,4,1,3,5,"5 3"
5829649098,2,3,2,1,"1 2"
5831460432,1,1,2,2,"2 2"
5848926867,4,2,4,5,"5 4"
5859924252,3,2,2,3,"3 2"
5871439161,4,4,4,5,"5 4"
5873379876,4,1,4,5,"5 4"
5879202021,2,3,1,1,"1 1"
5883212832,4,3,4,4,"4 4"
5899385457,1,1,1,2,"2 1"
5918275083,3,1,4,5,"5 4"
5918792607,1,1,1,2,"2 1"
5922932799,2,1,2,3,"3 2"
5929143087,1,1,2,2,"2 2"
5930436897,2,2,2,2,"2 2"
5938458519,3,2,4,3,"3 4"
5948032713,1,1,2,2,"2 2"
5949197142,1,1,1,2,"2 1"
5955019287,1,1,1,2,"2 1"
5959547622,3,1,3,4,"4 3"
5973779532,1,1,1,2,"2 1"
5974426437,1,1,2,2,"2 2"
5983483107,2,1,3,3,"3 3"
5995903683,1,2,1,1,"1 1"
5997844398,2,1,3,3,"3 3"
6001855209,3,1,4,5,"5 4"
6008971164,1,1,2,2,"2 2"
6014017023,2,1,3,3,"3 3"
6022297407,2,1,1,3,"3 1"
6030707172,1,2,1,1,"1 1"
6034588602,1,1,1,2,"2 1"
6057100896,3,3,4,3,"3 4"
6059170992,1,1,1,2,"2 1"
6071332806,1,2,1,1,"1 1"
6075472998,2,1,3,3,"3 3"
6082718334,1,1,1,2,"2 1"
6091128099,2,2,2,2,"2 2"
6094750767,4,5,3,3,"3 3"
6122567682,4,5,4,1,"1 4"
6157112409,1,2,1,1,"1 1"
6162805173,4,2,3,5,"5 3"
6163193316,1,1,2,2,"2 2"
6163452078,3,2,3,3,"3 3"
6166298460,4,1,4,5,"5 4"
6168368556,4,2,4,5,"5 4"
6173155653,3,1,4,5,"5 4"
6180400989,4,1,4,5,"5 4"
6194762280,4,1,4,5,"5 4"
6201490092,2,3,1,1,"1 1"
6202395759,4,2,3,5,"5 3"
6213651906,4,1,3,5,"5 3"
6228013197,3,1,3,4,"4 3"
6229436388,1,1,3,2,"2 3"
6234870390,4,5,4,5,"5 4"
6254148159,2,1,3,3,"3 3"
6260358447,4,5,3,3,"3 3"
6262299162,1,1,2,2,"2 2"
6273814071,3,1,3,4,"4 3"
6275237262,3,2,3,4,"4 3"
6279765597,1,1,2,2,"2 2"
6282741360,1,1,2,2,"2 2"
6302666034,1,1,1,2,"2 1"
6307323750,2,3,1,1,"1 1"
6314051562,4,5,4,4,"4 4"
6321426279,4,4,4,5,"5 4"
6329706663,4,4,4,5,"5 4"
6331647378,1,1,1,2,"2 1"
6336822618,2,1,3,3,"3 3"
6344456097,2,1,3,3,"3 3"
6345879288,4,5,4,4,"4 4"
6346526193,1,1,1,2,"2 1"
6355712244,1,2,2,1,"1 2"
6376025061,1,1,1,2,"2 1"
6379647729,2,1,3,3,"3 3"
6386634303,4,5,2,1,"1 2"
6394009020,4,1,4,5,"5 4"
6399960546,4,1,4,5,"5 4"
6405782691,1,1,1,2,"2 1"
6406429596,1,1,2,2,"2 2"
6409017216,1,1,2,2,"2 2"
6412251741,2,2,3,2,"2 3"
6412898646,4,4,4,5,"5 4"
6421955316,1,1,2,2,"2 2"
6426613032,3,4,2,2,"2 2"
6433082082,1,1,2,2,"2 2"
6443173800,4,4,3,3,"3 3"
6452618613,1,1,2,2,"2 2"
6465686094,1,1,1,2,"2 1"
6466332999,3,1,2,4,"4 2"
6469826286,3,2,3,3,"3 3"
6475648431,4,1,4,5,"5 4"
6475777812,1,1,1,2,"2 1"
6480694290,1,1,2,2,"2 2"
6485869530,1,1,2,2,"2 2"
6487163340,1,2,1,1,"1 1"
6507734919,4,3,4,5,"5 4"
6509675634,3,3,3,3,"3 3"
6511486968,2,1,3,3,"3 3"
6514462731,3,1,2,4,"4 2"
6524683830,1,1,1,2,"2 1"
6538139454,1,1,2,2,"2 2"
6559357938,1,1,2,2,"2 2"
6576048087,4,1,3,5,"5 3"
6582517137,1,1,3,2,"2 3"
6583681566,3,3,3,3,"3 3"
6593514522,4,1,4,5,"5 4"
6597007809,4,5,4,5,"5 4"
6610204671,4,5,4,1,"1 4"
6612792291,2,1,2,3,"3 2"
6614474244,3,1,4,5,"5 4"
6621202056,3,3,2,2,"2 2"
6621460818,1,1,1,2,"2 1"
6633493251,4,5,4,3,"3 4"
6634528299,2,1,3,3,"3 3"
6635951490,4,5,4,5,"5 4"
6645008160,3,1,4,5,"5 4"
6659628213,2,1,1,3,"3 1"
